YEAR,MONTH,DAY,TEMPERATURE_AVG,RADIATION
2011,01,01,4,1314
2011,01,02,3.3,1853
2011,01,03,2.4,1372
2011,01,04,1,1979
2011,01,05,1.5,3048
2011,01,06,6.9,2228
2011,01,07,7.6,2189
2011,01,08,10.3,1425
2011,01,09,5,3571
2011,01,10,1.7,2844
2011,01,11,4.7,2498
2011,01,12,7.6,2173
2011,01,13,11.3,1151
2011,01,14,11.4,731
2011,01,15,9.4,1538
2011,01,16,10.6,3714
2011,01,17,8.3,2241
2011,01,18,7.4,1967
2011,01,19,4,2623
2011,01,20,3.8,3101
2011,01,21,2.5,3634
2011,01,22,4.4,2352
2011,01,23,5,1774
2011,01,24,6.2,2319
2011,01,25,4.8,2746
2011,01,26,4.8,2354
2011,01,27,1.6,3226
2011,01,28,-0.5,4945
2011,01,29,-0.5,5222
2011,01,30,-1.7,4488
2011,01,31,-1.5,1644
2011,02,01,-0.5,3107
2011,02,02,3.3,2487
2011,02,03,7,5826
2011,02,04,8,3059
2011,02,05,11,1949
2011,02,06,10.6,1771
2011,02,07,8.8,3834
2011,02,08,7.1,6947
2011,02,09,4.2,3910
2011,02,10,8.1,3462
2011,02,11,11.8,4457
2011,02,12,9.9,2447
2011,02,13,5.3,3128
2011,02,14,8,3622
2011,02,15,5.1,4164
2011,02,16,5.4,5248
2011,02,17,6.1,7915
2011,02,18,1.8,3198
2011,02,19,3.4,3068
2011,02,20,4.5,2078
2011,02,21,3.4,3353
2011,02,22,1.9,8659
2011,02,23,1.2,4153
2011,02,24,7,6414
2011,02,25,9.5,5391
2011,02,26,9.6,2175
2011,02,27,6.7,5590
2011,02,28,3.6,3259
2011,03,01,5.1,4932
2011,03,02,4.8,8427
2011,03,03,3.4,8747
2011,03,04,3.5,10465
2011,03,05,3,5287
2011,03,06,4.2,9991
2011,03,07,3.8,12085
2011,03,08,5.4,12661
2011,03,09,7.4,6612
2011,03,10,7.3,6162
2011,03,11,9.1,9340
2011,03,12,9.4,8293
2011,03,13,10.7,6250
2011,03,14,9.2,4591
2011,03,15,11,12395
2011,03,16,10.1,11080
2011,03,17,5.6,3504
2011,03,18,7,6189
2011,03,19,7.1,11950
2011,03,20,5.6,12331
2011,03,21,6.9,15667
2011,03,22,8.1,15450
